label,buy_age,start_mileage,most_recently_amount,year_station_costmoney,industry,sr_area,sales_city_lvname,month_income,marital_status,is_insaic_insur,system,cust_sex
1,39.6,0,0.0,1933.4,,,一线城市,,,是,android,1
1,27.6,0,976.0,976.02,,,一线城市,,,是,ios,0
1,30.2,0,948.0,948.0,,,一线城市,,,是,,0
1,24.3,11,2000.0,0.0,,服务争议,二线城市,10000－14999元,未婚,否,,1
1,27.1,0,474.0,1028.0,,,一线城市,,,是,,0
1,48.8,43135,510.0,0.0,,,一线城市,6000－9999元,已婚,是,,1
1,53.8,0,1075.0,1075.0,,,三线城市,,,否,android,1
1,32.1,0,2049.0,4473.0,,售后咨询,一线城市,,,是,ios,1
1,24.5,0,0.0,6152.0,,,一线城市,,,是,ios,1
1,46.2,0,0.0,0.0,,,一线城市,,,是,ios,1
1,35.7,101489,1600.0,1600.0,,售后咨询,一线城市,,,否,,1
1,34.1,2948,3.0,3.0,,,一线城市,,,否,,1
1,32.4,31021,200.0,950.0,,售后咨询,一线城市,,,否,android,1
1,33.6,0,977.0,1227.0,,,四线城市,,,是,,1
1,53.1,30617,656.0,656.0,,,一线城市,30000－50000元,已婚,否,,1
1,24.1,62648,656.0,761.0,,,四线城市,6000－9999元,已婚,否,,1
1,27.1,0,1167.0,0.0,,,四线城市,10000－14999元,未婚,否,,0
1,22.4,52632,4050.0,0.0,批发零售贸易业,服务争议,二线城市,25000－29999元,未婚,否,,0
1,33.3,13072,0.0,45.0,,,二线城市,6000－9999元,已婚,否,,0
1,49.2,52647,1116.0,1116.0,,,一线城市,10000－14999元,已婚,否,,1
1,48.6,3239,716.0,0.0,,,二线城市,2万-5万元,已婚,否,,0
1,36.3,0,0.0,0.0,,,一线城市,,,否,,0
1,40.6,23013,1.0,1.0,,服务争议,四线城市,3000－5999元,已婚,否,,1
1,25.3,0,245.0,913.0,,,四线城市,,,是,,0
1,31.6,0,312.0,0.0,,,三线城市,,,否,,1
1,29.8,0,175.0,175.0,,质量维修,四线城市,,,否,android,0
1,28.4,0,0.0,0.0,,,二线城市,6000－9999元,已婚,否,,0
1,27.8,0,0.0,12555.0,餐饮及其他服务业,,三线城市,6000－9999元,已婚,否,,1
1,28.1,208709,480.0,2743.0,,,一线城市,15000－19999元,已婚,否,,1
1,41.4,48499,363.0,1112.0,,,三线城市,10000－14999元,已婚,否,,1
1,39.9,0,224.0,224.0,,,四线城市,6000－9999元,已婚,否,,1
1,42.8,0,858.0,858.0,,,一线城市,6000－9999元,已婚,否,,1
1,24.4,0,600.0,600.0,,,二线城市,,,是,,1
1,41.2,0,536.0,1195.5,,,五线城市,,,否,,1
1,22.9,0,366.0,366.0,,服务争议,三线城市,,,否,ios,0
1,29.8,0,373.0,373.0,,,五线城市,,,否,,1
1,31.8,0,220.0,0.0,,,三线城市,,,否,,1
1,26.8,47234,479.0,2809.0,,,二线城市,,,否,,1
1,24.7,0,727.0,727.0,,售后咨询,二线城市,6000－9999元,已婚,否,,1
1,32.4,38423,300.0,0.0,,,一线城市,3000－5999元,已婚,否,,1
1,28.0,14516,112.0,0.0,,,一线城市,6000－9999元,已婚,否,,1
1,33.0,0,0.0,0.0,,,二线城市,,,否,ios,0
1,41.2,0,463.0,2036.0,,售后咨询,三线城市,,,否,ios,1
1,24.1,0,522.0,9252.0,,,二线城市,,,是,ios,1
1,34.2,0,304.0,608.0,,,五线城市,,,否,android,1
1,40.5,0,0.0,0.0,,,四线城市,,,否,,0
1,30.0,100441,859.0,1446.0,,,一线城市,,,是,,0
1,36.3,45454,2625.4,3081.4,,,,,,否,,1
1,35.6,65597,254.0,1288.0,,售后咨询,二线城市,,,是,android,1
1,38.3,18215,1400.0,3003.0,,售后咨询,一线城市,,,否,ios,0
1,39.1,17760,184.0,184.0,,,一线城市,6000－9999元,已婚,否,,1
1,38.1,12379,2038.0,0.0,,,二线城市,,,否,android,0
1,26.7,20424,1456.0,1456.0,,,一线城市,,,否,ios,0
1,55.0,0,840.0,1680.0,,,三线城市,,,否,,1
1,45.8,8612,178.0,0.0,,售后咨询,一线城市,,,否,,1
1,37.4,0,0.0,0.0,,,二线城市,,,是,android,1
1,29.0,45208,2540.0,0.0,,,四线城市,6000－9999元,已婚,否,,1
1,28.6,82693,0.0,0.0,,,三线城市,6000－9999元,已婚,否,,1
1,40.6,14685,0.0,0.0,,售后咨询,二线城市,3000－5999元,已婚,否,,0
1,47.2,50220,471.0,471.0,,质量维修,四线城市,3000－5999元,已婚,否,,0
1,38.0,0,520.0,824.0,,,四线城市,3000－5999元,已婚,否,,1
1,24.2,4678,4104.0,4104.0,,,二线城市,3000－5999元,已婚,否,,1
1,38.4,0,416.0,456.0,,,二线城市,,,否,,0
1,51.9,0,1853.0,2478.0,,服务争议,一线城市,3000－5999元,已婚,是,,1
1,23.1,4553,0.0,2131.0,,,三线城市,,,是,ios,1
1,28.7,0,1035.0,0.0,,召回,四线城市,,,否,,0
1,38.2,84195,1839.0,3150.0,,,二线城市,,,否,ios,1
1,44.9,0,1360.0,5575.0,,服务争议,一线城市,,,否,ios,1
1,36.7,0,836.0,5811.0,,,四线城市,,,否,,0
1,45.7,0,12200.0,14153.0,,,二线城市,,,否,android,1
1,43.3,0,30.0,3738.8,,,一线城市,,,否,,1
1,42.2,0,0.0,0.0,,,四线城市,3000－5999元,已婚,否,,1
1,54.2,0,2046.0,2528.0,,,一线城市,,,否,android,1
1,30.1,0,0.0,0.0,,,二线城市,,,是,android,1
1,30.6,0,3663.0,3663.0,,,二线城市,,,否,,0
1,31.0,6619,1658.0,0.0,,售后咨询,四线城市,,,否,,1
1,54.9,0,696.0,696.0,,,二线城市,,,否,android,0
1,39.7,0,2535.0,3932.0,,,四线城市,,,否,android,1
1,31.2,0,5526.0,7652.0,,售后咨询,四线城市,,,否,ios,1
1,29.6,0,0.0,4930.0,,,四线城市,,,否,android,0
1,35.7,0,1136.0,1136.0,,,,,,否,,1
1,23.3,0,6747.0,13197.0,,售后咨询,四线城市,,,是,ios,0
1,25.2,0,0.0,0.0,,,一线城市,,,是,android,1
1,38.4,0,0.0,0.0,,,五线城市,,,否,android,1
1,24.6,0,60.0,0.0,,车主俱乐部,二线城市,,,否,android,1
1,33.6,45681,3412.0,12344.0,,,一线城市,,,否,,1
1,40.9,0,0.0,70.0,,,一线城市,,,是,android,1
1,34.8,0,0.0,0.0,,,四线城市,,,是,ios,1
1,45.9,0,2175.0,5843.0,,,一线城市,,,是,android,1
1,50.3,0,0.0,1977.0,,,四线城市,,,是,android,1
1,25.3,43472,631.0,1666.0,,售后咨询,二线城市,,,否,android,1
1,29.6,13478,0.0,0.0,,售后咨询,一线城市,,,否,,0
1,32.1,23671,1.0,4773.0,,,五线城市,,,否,,1
1,31.9,80710,420.0,0.0,,,一线城市,30000－50000元,已婚,否,,1
1,35.8,426,632.0,0.0,,售后咨询,,,,否,,0
1,27.2,0,737.0,737.0,,,三线城市,,,否,,0
1,28.6,66023,11408.79,11408.79,,,二线城市,,,否,,1
1,27.1,0,103.0,0.0,,,三线城市,,,否,,1
1,40.0,5267,403.0,781.0,,,三线城市,,,否,ios,1
1,22.1,0,516.0,3612.0,,,三线城市,,,是,android,0
1,25.7,0,0.0,70.0,,,二线城市,5万-10万元,未婚,是,ios,1
1,27.9,24821,1.0,1.0,,销售咨询,三线城市,,,否,,1
1,32.6,6270,0.0,17019.0,,售后咨询,一线城市,,,否,ios,1
1,50.0,6437,0.0,8200.0,,售后咨询,,,,否,ios,1
1,48.0,12837,606.0,606.0,,,三线城市,15000－19999元,已婚,是,ios,1
1,23.1,290540,5555.0,5555.0,,,二线城市,15000－19999元,未婚,否,,1
1,30.7,25250,1.0,26434.99,,,二线城市,3000－5999元,已婚,否,,1
1,22.5,17044,2600.0,2600.0,,,三线城市,,,否,android,1
1,50.5,34226,3029.0,3029.0,,,一线城市,5万-10万元,已婚,是,,1
1,27.1,34002,8800.0,8800.0,,,一线城市,3000－5999元,未婚,否,,0
1,41.0,0,14600.0,14600.0,,售后咨询,一线城市,,,否,,1
1,40.7,0,836.0,836.0,,,三线城市,,,是,,1
1,27.8,10254,477.66,477.66,,,二线城市,,,否,,0
1,24.7,7762,1711.0,1711.0,,,三线城市,3000－5999元,未婚,否,,0
1,34.9,5801,138.0,138.0,,,一线城市,15000－19999元,已婚,是,,1
1,29.2,19450,411.0,411.0,,,二线城市,6000－9999元,已婚,否,,0
1,38.8,80200,5058.0,5905.0,,,一线城市,6000－9999元,已婚,否,,1
1,42.0,0,108.0,0.0,,,二线城市,3000－5999元,已婚,否,,1
1,27.6,0,2.0,1107.0,教育/科研/培训业,,一线城市,3000－5999元,未婚,是,,0
1,32.1,0,0.0,0.0,,,二线城市,3000－5999元,已婚,否,ios,1
1,18.4,82033,2110.0,2346.0,,,一线城市,10000－14999元,已婚,否,ios,0
1,28.9,0,552.0,1586.0,,,三线城市,,,否,ios,1
1,24.9,0,0.0,0.0,,,三线城市,,,否,,1
1,21.0,0,546.0,0.0,,车主俱乐部,一线城市,,,否,,1
1,24.6,0,1871.0,4581.0,,售后咨询,五线城市,,,否,android,1
1,23.5,0,0.0,0.0,,服务争议,二线城市,,,是,android,1
1,21.9,0,195.0,195.0,,,二线城市,,,否,,0
1,23.0,20212,647.0,1457.0,,,二线城市,6000－9999元,已婚,是,,1
1,25.7,140747,5309.0,5309.0,,,四线城市,15000－19999元,已婚,否,,1
1,25.3,53923,2084.0,3636.0,,,一线城市,,,否,ios,1
1,46.2,11000,0.0,278.0,,,三线城市,,,否,android,1
1,29.3,49828,1.0,1.0,,,五线城市,,,否,,1
1,31.1,0,0.0,0.0,,,四线城市,,,否,,0
1,43.7,15642,1472.0,18198.0,,,二线城市,,,是,,1
1,34.6,0,3186.0,3186.0,,,二线城市,,,否,ios,1
1,22.3,0,0.0,70.0,,售后咨询,二线城市,,,是,android,1
1,41.0,0,0.0,1532.0,,,二线城市,,,否,ios,1
1,50.8,0,234.0,304.0,,,四线城市,,,是,android,1
1,42.1,27289,136.0,136.0,,售后咨询,四线城市,,,否,android,1
1,24.8,0,0.0,0.0,,,二线城市,6000－9999元,已婚,否,,0
1,32.6,3226,0.0,41.0,,,二线城市,10000－14999元,已婚,否,,1
1,28.8,21547,100.0,0.0,,,四线城市,3000－5999元,已婚,否,,1
1,46.0,0,11525.3,0.0,,,二线城市,15000－19999元,已婚,否,,1
1,32.1,50262,294.0,444.0,,,二线城市,6000－9999元,已婚,否,,1
1,27.2,75877,250.0,0.0,,,二线城市,6000－9999元,已婚,否,,1
1,51.3,40113,480.0,0.0,,,一线城市,6000－9999元,已婚,否,,1
1,30.1,47917,0.0,0.0,,,四线城市,3000－5999元,已婚,否,,1
1,32.9,34458,0.0,761.1,,售后咨询,,,,否,,1
1,26.7,0,1195.0,0.0,,,四线城市,6000－9999元,已婚,否,,0
1,39.3,0,0.0,0.0,,,二线城市,,,否,android,1
1,30.4,8387,2018.0,2018.0,,,二线城市,,,否,,1
1,56.2,0,911.0,911.0,,,三线城市,,,是,ios,1
1,33.5,3500,844.0,1688.0,,车主俱乐部,三线城市,,,是,android,1
1,37.8,9595,0.0,0.0,,,一线城市,,,否,,0
1,29.7,71842,110.0,0.0,,,二线城市,,,否,,0
1,58.8,34512,3750.36,0.0,,售后咨询,一线城市,,,否,,1
1,41.7,8241,0.0,122.0,,,二线城市,,,否,android,1
1,38.7,0,100.0,100.0,,,三线城市,6000－9999元,已婚,否,,1
1,21.4,0,486.0,27086.0,,,二线城市,10000－14999元,已婚,是,ios,1
1,50.1,0,1016.0,2592.0,,售后咨询,二线城市,,,否,android,0
1,37.3,1322,0.0,0.0,,,二线城市,,,否,,0
1,34.9,0,98.0,1474.0,,,一线城市,,,否,,0
1,40.7,0,0.0,1786.0,,车主俱乐部,三线城市,,,否,android,0
1,29.0,28806,601.0,18241.0,,车主俱乐部,二线城市,,,否,android,1
1,17.2,15159,2322.0,2323.0,,,三线城市,,,否,,1
1,32.2,0,376.0,376.0,,,二线城市,,,是,android,0
1,29.9,81974,1144.0,7514.0,,服务争议,三线城市,6000－9999元,已婚,否,,1
1,31.0,9158,0.0,0.0,,,二线城市,,,否,,1
1,32.4,33188,1000.0,1000.0,,销售咨询,四线城市,,,否,android,0
1,23.2,0,0.0,0.0,,售后咨询,三线城市,,,是,ios,1
1,39.4,0,1000.0,2962.0,,,二线城市,,,是,,0
1,27.5,0,,,,,二线城市,,,否,,1
1,28.2,0,0.0,0.0,,,三线城市,,,否,,0
1,43.4,0,201.0,2367.0,,,四线城市,,,是,android,0
1,32.4,0,0.0,0.0,,,三线城市,,,是,ios,0
1,36.3,0,1251.0,2629.0,,售后咨询,一线城市,3000－5999元,已婚,否,,1
1,27.1,0,0.0,0.0,,,二线城市,,,否,,1
1,53.7,2560,3415.75,4453.75,,,二线城市,10000－14999元,已婚,是,,0
1,35.1,39044,10.0,0.0,,,二线城市,6000－9999元,已婚,否,,1
1,24.9,69513,603.0,603.0,,,二线城市,,,否,,1
1,24.6,11589,3600.0,3600.0,,,三线城市,2万-5万元,已婚,否,,1
1,39.5,27695,1650.0,2926.0,,售后咨询,一线城市,,,否,ios,0
1,30.4,8551,696.0,0.0,,,四线城市,,,否,,1
1,36.0,39000,1104.0,1104.0,,,一线城市,10000－14999元,已婚,是,,0
1,24.6,0,2128.0,2128.0,,,,,,否,,1
1,27.3,0,200.0,0.0,,,二线城市,,,否,,0
1,45.5,0,1109.0,0.0,,,四线城市,,,否,,1
1,53.7,0,500.0,500.0,,,五线城市,,,否,,1
1,46.7,147927,256.0,256.0,,,一线城市,6000－9999元,已婚,否,,1
1,35.7,0,2557.06,0.0,,,三线城市,3000－5999元,已婚,否,,1
1,31.5,43866,100.0,100.0,,,三线城市,6000－9999元,已婚,否,,1
1,42.9,0,240.0,730.0,,,四线城市,10000－14999元,已婚,否,,1
1,38.9,28981,2261.0,2261.0,,,三线城市,10000－14999元,已婚,否,,1
1,31.3,83155,1.0,1.0,,,一线城市,10000－14999元,已婚,否,,1
1,41.6,0,1.0,1.0,,,三线城市,6000－9999元,已婚,否,,1
1,42.1,0,1.0,1.0,,,四线城市,6000－9999元,已婚,否,,1
1,42.8,176909,0.0,0.0,,,三线城市,50000元以上,已婚,否,,0
1,42.9,0,0.0,0.0,,,四线城市,20000－24999元,已婚,否,,1
1,47.4,16270,970.0,1204.0,,,二线城市,6000－9999元,已婚,否,,1
1,32.6,34284,1.0,1.0,,,一线城市,10000－14999元,已婚,否,,1
1,32.9,59040,330.0,0.0,,,五线城市,6000－9999元,已婚,否,,1
1,28.4,0,268.0,12743.0,,车主俱乐部,,,,是,android,1
1,23.9,0,226.0,226.0,,车主俱乐部,三线城市,,,否,ios,1
1,27.1,74385,23800.0,23800.0,,,三线城市,3000－5999元,已婚,否,,0
1,24.9,0,378.0,0.0,,售后咨询,一线城市,,,否,,1
1,54.9,0,310.0,0.0,,,三线城市,,,否,,1
1,29.1,0,0.0,0.0,,,五线城市,,,否,,1
1,31.5,4500,510.0,510.0,,,二线城市,,,否,,0
1,28.3,54832,3005.0,3390.0,,,二线城市,,,否,,1
1,34.0,0,0.0,0.0,,,三线城市,,,否,android,0
1,54.6,0,0.0,0.0,,,二线城市,,,否,,1
1,32.4,0,0.0,0.0,,,四线城市,,,是,android,1
1,48.4,0,618.0,618.0,,,三线城市,6000－9999元,已婚,否,,1
1,37.9,24094,1180.15,10700.15,,,一线城市,,,否,android,0
1,29.4,0,0.0,0.0,,,一线城市,,,是,android,1
1,28.8,0,1276.0,1432.0,,,,,,否,,1
1,41.6,0,227.0,16068.4,,,三线城市,,,否,ios,1
1,31.9,0,2960.0,0.0,,,三线城市,,,否,,1
1,35.5,25726,0.0,1731.0,,,二线城市,,,是,android,1
1,46.0,0,0.0,0.0,,,一线城市,,,是,ios,0
1,42.3,0,97223.4,99378.4,,售后咨询,一线城市,,,是,android,1
1,45.9,0,1665.0,4881.0,,售后咨询,二线城市,,,是,ios,1
1,40.9,16688,2248.0,0.0,,售后咨询,四线城市,20000－24999元,已婚,否,,1
1,29.9,20817,3400.0,4898.0,,,一线城市,6000－9999元,已婚,是,,1
1,30.3,2213,920.0,0.0,,,一线城市,6000－9999元,已婚,否,,1
1,42.5,0,0.0,1405.0,,,二线城市,10000－14999元,已婚,否,ios,1
1,24.9,53972,661.0,661.0,,,二线城市,3000－5999元,已婚,否,,1
1,38.9,37832,2252.0,6003.2,,,三线城市,20000－24999元,已婚,否,android,1
1,24.1,0,0.0,1172.0,,售后咨询,二线城市,3000－5999元,未婚,是,ios,0
